SkeletonHips,0,0.128717,0,0,-0,0,1,1,1,1
SkeletonSpine,-0.00489193,0.165206,-0.000299931,0,-0,0,1,1,1,1
SkeletonChest,-0.0421823,0.234071,-0.00340286,0,-0,0,1,1,1,1
SkeletonHead,-0.0611508,0.273193,0.000551134,0,-0,0,1,1,1,1
SkeletonRightUpperLeg,-0.0463087,0.201024,0.00240883,0,-0,0,1,1,1,1
SkeletonRightLeg,-0.0171098,0.108675,-0.00168777,0,-0,0,1,1,1,1
SkeletonRightAnkle,-0.0218774,-0.00939956,-0.0160545,0,-0,0,1,1,1,1
SkeletonRightFoot,-0.0228329,3.25773e-08,0.0482396,0,-0,0,1,1,1,1
SkeletonLeftUpperLeg,0.0797932,0.218624,-0.00172508,0,-0,0,1,1,1,1
SkeletonLeftLeg,0.067014,0.123144,-0.00957724,0,-0,0,1,1,1,1
SkeletonLeftAnkle,0.00791305,-0.00226694,-0.0293999,0,-0,0,1,1,1,1
SkeletonLeftFoot,-0.00506049,0.0204553,0.0450005,0,-0,0,1,1,1,1
SkeletonRightArm,-0.0993256,0.270653,-0.00816625,0,-0,0,1,1,1,1
SkeletonRightForeArm,-0.188768,0.272382,0.000102878,0,-0,0,1,1,1,1
SkeletonRightHand,-0.294841,0.289108,0.0184002,0,-0,0,1,1,1,1
SkeletonLeftArm,0.018492,0.238211,-0.00666976,0,-0,0,1,1,1,1
SkeletonLeftForeArm,0.065173,0.16565,0.00856563,0,-0,0,1,1,1,1
SkeletonLeftHand,0.124639,0.0847686,0.0283938,0,-0,0,1,1,1,1
